"p_ctrl","p_trt","true_arr","futility_process","futility_alt","n_sims","n_patients","efficacy_cross_rate","futility_cross_rate","dual_efficacy_rate","dual_futility_rate","dual_tie_rate","dual_continue_rate","no_crossing_rate","median_efficacy_crossing","median_futility_crossing","median_dual_stop","wrong_futility_rate","futility_detection_rate","median_final_arr","q25_final_arr","q75_final_arr","median_final_arr_no_crossing","q25_final_arr_no_crossing","q75_final_arr_no_crossing","median_final_efficacy_e","median_final_futility_e"
0.2,0.2,0,"design","half_mcid",5000,2502,0.0236,0.435,0.0206,0.428,0,0.5514,0.5514,503.5,1866,1845,0,0.435,-0.000232527663754617,-0.0110317021639653,0.0103849835228081,0.00870380973804211,0.00227500460113292,0.0163143769968052,0.358952253298328,12.2010863942079
0.2,0.2,0,"design","no_benefit",5000,2502,0.0236,0.689,0.0152,0.686,2e-04,0.2986,0.2986,503.5,1293,1281,0,0.689,-0.000232527663754617,-0.0110317021639653,0.0103849835228081,0.0150238632352714,0.00933810867196824,0.0217719842980482,0.358952253298328,26.9693988042909
0.2,0.2,0,"robust","no_benefit",5000,2502,0.0236,0.0812,0.0218,0.0766,0,0.9016,0.9016,503.5,2002,1874,0,0.0812,-0.000232527663754617,-0.0110317021639653,0.0103849835228081,0.00112779552715653,-0.00858856846815043,0.0110565763845532,0.358952253298328,2.2767652876686
0.2,0.175,0.025,"design","half_mcid",5000,2502,0.0966,0.032,0.0966,0.0316,0,0.8718,0.8718,1201,2045,1483,0,0.032,0.0245800342704611,0.0143196962984031,0.0351062782128564,0.0237444265098367,0.014382853247516,0.0329951269195798,0.61682853249362,1.5011688374904
0.2,0.175,0.025,"design","no_benefit",5000,2502,0.0966,0.1558,0.0962,0.155,0,0.7488,0.7488,1201,1479,1372.5,0,0.1558,0.0245800342704611,0.0143196962984031,0.0351062782128564,0.0259169727749135,0.0181452902213547,0.0345369884684831,0.61682853249362,0.484157806701596
0.2,0.175,0.025,"robust","no_benefit",5000,2502,0.0966,0.0062,0.0966,0.006,0,0.8974,0.8974,1201,2053,1270,0,0.0062,0.0245800342704611,0.0143196962984031,0.0351062782128564,0.0233986816941682,0.0133638181391606,0.032685819788199,0.61682853249362,0.464247982776708
0.2,0.15,0.05,"design","half_mcid",5000,2502,0.4798,2e-04,0.4798,2e-04,0,0.52,0.52,1340,1114,1339.5,2e-04,0,0.0499250896090639,0.0402747331321736,0.0602734373833831,0.0421054450656999,0.0339812339292196,0.0495923117416485,6.01681019334387,0.175876074862224
0.2,0.15,0.05,"design","no_benefit",5000,2502,0.4798,0.007,0.4798,0.007,0,0.5132,0.5132,1340,1299,1338,0.007,0,0.0499250896090639,0.0402747331321736,0.0602734373833831,0.0422758232440028,0.0342958441052997,0.0496519996339325,6.01681019334387,0.00785973092793464
0.2,0.15,0.05,"robust","no_benefit",5000,2502,0.4798,0,0.4798,0,0,0.5202,0.5202,1340,NA,1340,0,0,0.0499250896090639,0.0402747331321736,0.0602734373833831,0.0421028540157791,0.0339793169375163,0.0495878082638024,6.01681019334387,0.0899301659005394
0.2,0.125,0.075,"design","half_mcid",5000,2502,0.8776,0,0.8776,0,0,0.1224,0.1224,998.5,NA,998.5,0,0,0.0748346317942535,0.0650349439639608,0.0852328711277613,0.0574090887020918,0.0495448521936073,0.0658817122023094,268.56048119614,0.0216198821965356
0.2,0.125,0.075,"design","no_benefit",5000,2502,0.8776,2e-04,0.8776,2e-04,0,0.1222,0.1222,998.5,632,998,2e-04,0,0.0748346317942535,0.0650349439639608,0.0852328711277613,0.0574327436889626,0.0495728268345706,0.0658886273873051,268.56048119614,0.00014477998198301
0.2,0.125,0.075,"robust","no_benefit",5000,2502,0.8776,0,0.8776,0,0,0.1224,0.1224,998.5,NA,998.5,0,0,0.0748346317942535,0.0650349439639608,0.0852328711277613,0.0574090887020918,0.0495448521936073,0.0658817122023094,268.56048119614,0.0183373746675714
0.2,0.1,0.1,"design","half_mcid",5000,2502,0.9896,0,0.9896,0,0,0.0104,0.0104,647,NA,647,0,0,0.100187456836634,0.0904794067333338,0.109932626455499,0.0800247612034107,0.0686230455909707,0.0855574744150335,59663.8443209445,0.00258344336241596
0.2,0.1,0.1,"design","no_benefit",5000,2502,0.9896,0,0.9896,0,0,0.0104,0.0104,647,NA,647,0,0,0.100187456836634,0.0904794067333338,0.109932626455499,0.0800247612034107,0.0686230455909707,0.0855574744150335,59663.8443209445,2.42191700937214e-06
0.2,0.1,0.1,"robust","no_benefit",5000,2502,0.9896,0,0.9896,0,0,0.0104,0.0104,647,NA,647,0,0,0.100187456836634,0.0904794067333338,0.109932626455499,0.0800247612034107,0.0686230455909707,0.0855574744150335,59663.8443209445,0.00355216006792693
0.3,0.3,0,"design","half_mcid",5000,2502,0.0246,0.6326,0.0198,0.6242,0,0.356,0.356,550,1698,1684,0,0.6326,0.000155286080440437,-0.0123130990415333,0.0122826740944046,0.0160945126917565,0.0100285566335509,0.0234279031447776,0.252377426120364,23.8676634565286
