"endpoint","policy","wager_misspecification","design_d","true_d","design_d_wager","n_patients","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_d","median_final_d","median_type_m_at_crossing","type_m_q75","type_m_q90","scenario_type","target_power","alpha","n_sims"
"e-RTc","adaptive","adaptive",0.2,0,NA,788,0,0,NA,1.31724967342036e-94,NA,0.0241890054682392,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","design","design_under_null",0.2,0,0.2,788,0,0,NA,0.00518116806204339,NA,-0.0343121785946782,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","adaptive","adaptive",0.4,0,NA,200,0.05,0.0487339717240448,58,4.26733027941998e-20,-0.655208777264273,-0.0632547102409344,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","design","design_under_null",0.4,0,0.4,200,0,0,NA,0.0554609313853836,NA,-0.0146454435066636,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","adaptive","adaptive",0.6,0,NA,90,0,0,NA,2.75424996223076e-06,NA,0.00738019529111008,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","design","design_under_null",0.6,0,0.6,90,0.05,0.0487339717240448,88,0.195760705836989,0.497470930410975,0.0444665663415119,NA,NA,NA,"null",0.8,0.05,20
"e-RTc","adaptive","adaptive",0.2,0.2,NA,788,0.15,0.0798435971133566,65,1.24123163677455e-72,0.647113650155815,0.167614957417697,3.23556825077908,3.24063313613524,3.24367206734893,"alternative",0.8,0.05,20
"e-RTc","design","underestimated",0.2,0.2,0.1,788,0.6,0.109544511501033,599,16.8400120016824,0.243476430127492,0.191752407917012,1.21738215063746,1.42518893435884,1.49891415890672,"alternative",0.8,0.05,20
"e-RTc","design","matched",0.2,0.2,0.2,788,0.8,0.0894427190999916,410,246.640626442742,0.245765369544502,0.233144992093081,1.22882684772251,1.38944703024672,1.56701786392577,"alternative",0.8,0.05,20
"e-RTc","design","overestimated",0.2,0.2,0.4,788,0.45,0.111242977306435,120,0.4142733593107,0.306923632571205,0.179856354508598,1.53461816285603,2.16415260392503,2.48893660042467,"alternative",0.8,0.05,20
"e-RTc","oracle","oracle",0.2,0.2,0.2,788,0.65,0.106653645038508,418,15.4952734604257,0.224075215814928,0.171270239798152,1.12037607907464,1.45897706790862,1.93560854734903,"alternative",0.8,0.05,20
"e-RTc","adaptive","adaptive",0.4,0.4,NA,200,0.25,0.0968245836551854,87,5.15149945634969e-10,0.621543844436934,0.378044149631061,1.55385961109234,2.13551151490053,2.1467062857472,"alternative",0.8,0.05,20
"e-RTc","design","underestimated",0.4,0.4,0.2,200,0.35,0.106653645038508,167,13.1571930235031,0.588289150194372,0.437648295607099,1.47072287548593,1.53028234298243,1.60831776268589,"alternative",0.8,0.05,20
"e-RTc","design","matched",0.4,0.4,0.4,200,0.75,0.0968245836551854,135,59.8505124175806,0.409709917442867,0.428432314730874,1.02427479360717,1.43351213369613,1.51335519253648,"alternative",0.8,0.05,20
"e-RTc","design","overestimated",0.4,0.4,0.8,200,0.5,0.111803398874989,91.5,0.97940710853171,0.527570171112226,0.374504586309434,1.31892542778056,1.47949958229132,1.84625103593757,"alternative",0.8,0.05,20
"e-RTc","oracle","oracle",0.4,0.4,0.4,200,0.65,0.106653645038508,151,20.1508393459007,0.464220575913527,0.367561067305371,1.16055143978382,1.25962463191742,1.54075978298621,"alternative",0.8,0.05,20
"e-RTc","adaptive","adaptive",0.6,0.6,NA,90,0.6,0.109544511501033,63,0.587827267314078,0.770558580251419,0.62794613923342,1.28426430041903,1.52671836048769,1.56487501040031,"alternative",0.8,0.05,20
"e-RTc","design","underestimated",0.6,0.6,0.3,90,0.1,0.0670820393249937,88,4.8420850390882,0.751182715670917,0.60163217741283,1.25197119278486,1.34840110919854,1.40625905904675,"alternative",0.8,0.05,20
"e-RTc","design","matched",0.6,0.6,0.6,90,0.5,0.111803398874989,75.5,13.593621634312,0.729210132948646,0.639377231539444,1.21535022158108,1.71728047515851,1.88770723462085,"alternative",0.8,0.05,20
"e-RTc","design","overestimated",0.6,0.6,1.2,90,0.7,0.102469507659596,68.5,10.4845414623058,0.781139487427113,0.712293754827359,1.30189914571186,1.43883349607408,1.59269671282854,"alternative",0.8,0.05,20
"e-RTc","oracle","oracle",0.6,0.6,0.6,90,0.7,0.102469507659596,83.5,18.698466463705,0.738443816421328,0.604758717896461,1.23073969403555,1.51061043445104,1.66370613209448,"alternative",0.8,0.05,20
