"arr","baseline","trt_rate","event_coin","n_patients","n_events","ertb_power","erte_power","delta","winner","n_sims","target_power","alpha"
0.05,0.1,0.05,0.333333333333333,870,66,0.123,0.081,-0.042,"e-RTb",2000,0.8,0.05
0.05,0.15,0.1,0.4,1372,172,0.248,0.437,0.189,"e-RTe",2000,0.8,0.05
0.05,0.2,0.15,0.428571428571429,1812,318,0.331,0.447,0.116,"e-RTe",2000,0.8,0.05
0.05,0.25,0.2,0.444444444444444,2188,493,0.3995,0.4275,0.028,"e-RTe",2000,0.8,0.05
0.05,0.3,0.25,0.454545454545455,2502,689,0.425,0.374,-0.051,"e-RTb",2000,0.8,0.05
0.05,0.35,0.3,0.461538461538462,2754,896,0.46,0.3425,-0.1175,"e-RTb",2000,0.8,0.05
0.05,0.4,0.35,0.466666666666667,2942,1104,0.489,0.3215,-0.1675,"e-RTb",2000,0.8,0.05
0.075,0.15,0.075,0.333333333333333,556,63,0.197,0.0485,-0.1485,"e-RTb",2000,0.8,0.05
0.075,0.2,0.125,0.384615384615385,758,124,0.304,0.3555,0.0515,"e-RTe",2000,0.8,0.05
0.075,0.25,0.175,0.411764705882353,932,199,0.4045,0.415,0.0105,"e-RTe",2000,0.8,0.05
0.075,0.3,0.225,0.428571428571429,1080,284,0.444,0.37,-0.074,"e-RTb",2000,0.8,0.05
0.075,0.35,0.275,0.44,1198,375,0.4905,0.3545,-0.136,"e-RTb",2000,0.8,0.05
0.075,0.4,0.325,0.448275862068965,1288,467,0.5025,0.3335,-0.169,"e-RTb",2000,0.8,0.05
0.1,0.15,0.05,0.25,282,29,0.108,0,-0.108,"e-RTb",2000,0.8,0.05
0.1,0.2,0.1,0.333333333333333,398,60,0.254,0.028,-0.226,"e-RTb",2000,0.8,0.05
0.1,0.25,0.15,0.375,500,100,0.331,0.2605,-0.0705,"e-RTb",2000,0.8,0.05
0.1,0.3,0.2,0.4,588,148,0.4255,0.333,-0.0925,"e-RTb",2000,0.8,0.05
0.1,0.35,0.25,0.416666666666667,658,198,0.462,0.335,-0.127,"e-RTb",2000,0.8,0.05
0.1,0.4,0.3,0.428571428571429,712,250,0.507,0.3425,-0.1645,"e-RTb",2000,0.8,0.05
