"arr","baseline","trt_rate","n_patients","n_events","endpoint","schedule","kelly_fraction","burn_in","ramp","power","se","median_crossing","median_final_evalue","n_sims","target_power","alpha"
0.05,0.1,0.05,870,66,"e-RTb","default",0.25,50,100,0.021,0.00453420334788814,631,1.63847126536617,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","default",0.25,30,50,0,0,NA,1.28716272653162,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_10_20",0.25,10,20,0.04,0.00619677335393187,620,1.59474288536235,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_10_20",0.25,10,20,0.031,0.00548078461536302,60,2.53427135628361,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_30_50",0.25,30,50,0.029,0.00530650544143695,632,1.63149131003212,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_30_50",0.25,30,50,0,0,NA,1.28716272653162,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_5_10",0.25,44,87,0.026,0.00503229569878401,637,1.6490385747885,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_5_10",0.25,4,7,0.088,0.00895857131466843,53,3.25094341743569,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_10_20",0.25,87,174,0.011,0.00329833291224521,638,1.576279969418,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_10_20",0.25,7,14,0.058,0.00739161687318817,58.5,2.82537567034248,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","default",0.5,50,100,0.122,0.0103496859855746,569.5,1.58607535719312,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","default",0.5,30,50,0.004,0.00199599599197994,77.5,1.59429081615539,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_10_20",0.5,10,20,0.137,0.0108734079294396,462,1.35903346775899,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_10_20",0.5,10,20,0.238,0.0134668481835951,54,4.4762615618764,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_30_50",0.5,30,50,0.133,0.0107382959542006,515,1.50547986431309,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_30_50",0.5,30,50,0.004,0.00199599599197994,77.5,1.59429081615539,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_5_10",0.5,44,87,0.124,0.0104222838188182,569.5,1.57569172587106,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_5_10",0.5,4,7,0.346,0.0150427391122761,45,6.63545244575342,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_10_20",0.5,87,174,0.102,0.00957057991973318,630,1.611492522211,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_10_20",0.5,7,14,0.295,0.0144213383567546,50,5.42914261163267,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","default",0.75,50,100,0.167,0.01179453263169,494,0.95349344808578,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","default",0.75,30,50,0.029,0.00530650544143695,70,1.89277969266204,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_10_20",0.75,10,20,0.163,0.0116803681448831,372,0.65393059295135,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_10_20",0.75,10,20,0.388,0.0154096073927923,49,6.11858633006681,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_30_50",0.75,30,50,0.174,0.0119884944842962,423,0.846821975895967,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_30_50",0.75,30,50,0.029,0.00530650544143695,70,1.89277969266204,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_5_10",0.75,44,87,0.169,0.0118506961820815,487,0.955103196958471,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_5_10",0.75,4,7,0.456,0.0157500476189756,39,7.80892411452836,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_10_20",0.75,87,174,0.153,0.0113838042850358,552,1.11320474372056,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_10_20",0.75,7,14,0.427,0.0156419627924375,45,7.11689090091132,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","default",1,50,100,0.187,0.0123300851578568,408,0.421014761754676,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","default",1,30,50,0.064,0.00773976743836661,66,2.18794647844486,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_10_20",1,10,20,0.165,0.0117377595817941,356,0.170230768976945,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_10_20",1,10,20,0.445,0.0157154382694216,45,5.47812821348357,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","fixed_30_50",1,30,50,0.196,0.0125532465920175,362.5,0.318922372638979,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","fixed_30_50",1,30,50,0.064,0.00773976743836661,66,2.18794647844486,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_5_10",1,44,87,0.187,0.0123300851578568,412,0.384878341997212,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_5_10",1,4,7,0.483,0.0158022466757104,38,5.1415899851397,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTb","proportional_10_20",1,87,174,0.189,0.012380589646701,503,0.562925073091253,1000,0.8,0.05
0.05,0.1,0.05,870,66,"e-RTe","proportional_10_20",1,7,14,0.48,0.0157987341265052,42,5.68802386516168,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTb","default",0.25,50,100,0.1,0.00948683298050514,997,2.32895030593559,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTe","default",0.25,30,50,0.027,0.00512552436341883,159,2.36212617046315,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTb","fixed_10_20",0.25,10,20,0.11,0.00989444288477123,861.5,2.12312247364299,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTe","fixed_10_20",0.25,10,20,0.079,0.00852988862764339,132,2.95197532283648,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTb","fixed_30_50",0.25,30,50,0.108,0.0098150904224057,990.5,2.30611731282125,1000,0.8,0.05
0.05,0.15,0.1,1372,172,"e-RTe","fixed_30_50",0.25,30,50,0.027,0.00512552436341883,159,2.36212617046315,1000,0.8,0.05
