"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
1,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.163846529587219,-1.80882508448751,0.108798704706521,1.11493789600042
1,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.163846529587219,-1.80882508448751,0.108798704706521,1.11493789600042
1,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0645943102427293,-2.7396289488105,0.105059382108778,1.11077656865234
2,1,"Simultaneous entry, time-on-study order",631,626,FALSE,NA,0.000412990665406462,-7.79208556718007,-0.0124563167211109,0.987620942072641
2,1,"Staggered entry, time-on-study order",631,626,FALSE,NA,0.000412990665406462,-7.79208556718007,-0.0124563167211109,0.987620942072641
2,1,"Staggered entry, calendar-event order",631,626,FALSE,NA,0.00037297230283618,-7.89400639620839,-0.0139367563152496,0.986159910677205
3,1,"Simultaneous entry, time-on-study order",631,628,TRUE,148,4.85220802464051,1.5794338641612,-0.166811571119368,0.846359074806033
3,1,"Staggered entry, time-on-study order",631,628,TRUE,148,4.85220802464051,1.5794338641612,-0.166811571119368,0.846359074806033
3,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,4.04996280386094,1.39870769684441,-0.163142688223669,0.849469970405468
4,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.187160286253931,-1.67578988352423,0.10288539771097,1.10836438070217
4,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.187160286253931,-1.67578988352423,0.10288539771097,1.10836438070217
4,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.020748070173382,-3.87530204032297,0.0986475591292382,1.10367725003339
5,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00340145724613504,-5.68355133737911,0.0292562392403937,1.02968840724941
5,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00340145724613504,-5.68355133737911,0.0292562392403937,1.02968840724941
5,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00414349079678263,-5.48621665879925,0.0346964750914699,1.03530542012187
6,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.951331641106521,-0.0498925484098747,-0.152008092297418,0.858981329580602
6,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.951331641106521,-0.0498925484098747,-0.152008092297418,0.858981329580602
6,1,"Staggered entry, calendar-event order",631,630,TRUE,197,2.54883692903164,0.935637148860133,-0.147024172287792,0.863273109878057
7,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0119278741306954,-4.42887725399863,-0.0216424499308218,0.978590067452498
7,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0119278741306954,-4.42887725399863,-0.0216424499308218,0.978590067452498
7,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00945887118851992,-4.66080222771888,-0.0269500331765285,0.973409878508774
8,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.0740403725437872,-2.60314475963381,-0.0846448195862303,0.918838579918142
8,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.0740403725437872,-2.60314475963381,-0.0846448195862303,0.918838579918142
8,1,"Staggered entry, calendar-event order",631,626,FALSE,NA,0.0476208047134545,-3.04448553942163,-0.0835171966887308,0.91987526772657
9,1,"Simultaneous entry, time-on-study order",631,627,FALSE,NA,0.0344125594606624,-3.36933368063514,-0.0403717325368202,0.960432348831914
9,1,"Staggered entry, time-on-study order",631,627,FALSE,NA,0.0344125594606624,-3.36933368063514,-0.0403717325368202,0.960432348831914
9,1,"Staggered entry, calendar-event order",631,627,FALSE,NA,0.00108774410454241,-6.82364935624265,-0.0378184794782062,0.962887708908079
10,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0237058743368387,-3.74203239923997,0.0646689016402501,1.06680574826943
10,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0237058743368387,-3.74203239923997,0.0646689016402501,1.06680574826943
10,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0506987430764043,-2.98185416008473,0.0631983862624331,1.06523814688491
11,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.00404130493660952,-5.51118763505241,-0.0285997489413503,0.97180535275618
11,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.00404130493660952,-5.51118763505241,-0.0285997489413503,0.97180535275618
11,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.000485884585016986,-7.62953944165539,-0.0222521988918847,0.977993555055451
12,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,1.85567291354019,0.618247386904562,0.145661589035821,1.15680464642778
12,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,1.85567291354019,0.618247386904562,0.145661589035821,1.15680464642778
12,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,2.26510782072708,0.817622360772025,0.146086867586449,1.15729671525691
13,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0121490126927123,-4.41050737235641,0.0323441127706362,1.03287286890367
13,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0121490126927123,-4.41050737235641,0.0323441127706362,1.03287286890367
13,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0161779544756879,-4.12410579835449,0.038507782626878,1.03925881649011
14,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00979315225657925,-4.62607188687335,-0.0479166222724152,0.953213260519867
14,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00979315225657925,-4.62607188687335,-0.0479166222724152,0.953213260519867
14,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00407426085581378,-5.50306593381795,-0.0510620083800996,0.950219747118316
15,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.000612737261303317,-7.39757432515883,0.0246114629591801,1.02491682500288
