"endpoint","scenario_type","true_hr","planning_hr","policy","policy_display","wager_misspecification","hr_wager","n_events","n_patients","rejection_rate","se","median_crossing","median_crossing_frac","median_final_evalue","median_crossing_log_hr","median_crossing_hr","median_final_log_hr","median_final_hr","median_type_m","type_m_q75","type_m_q90","type_s_rate","n_crossed","target_power","alpha","n_sims"
"e-RTs","null",1,0.9,"fixed","Fixed 0.25","fixed",NA,2829,2829,0.054,0.00714730718522718,439.5,0.155355249204666,3.22596204566429e-10,0.192963787507275,1.21292606530995,0.000654061051930303,1.00065427673448,NA,NA,NA,NA,54,0.8,0.05,1000
"e-RTs","null",1,0.9,"adaptive","Adaptive half","adaptive",NA,2829,2829,0.012,0.00344325427466517,801,0.283138918345705,0.512015281354859,-0.228067215297536,0.796074893598327,0.000654061051930303,1.00065427673448,NA,NA,NA,NA,12,0.8,0.05,1000
"e-RTs","null",1,0.9,"design","Design matched","matched",0.9,2829,2829,0.043,0.00641490451994416,1212,0.428419936373277,0.0221100980650576,-0.141234945072483,0.868285288381455,0.000654061051930303,1.00065427673448,NA,NA,NA,NA,43,0.8,0.05,1000
"e-RTs","null",1,0.8,"fixed","Fixed 0.25","fixed",NA,631,631,0.035,0.00581162627841812,254,0.402535657686212,0.0108952201815148,0.229425977184491,1.25787775212424,0.00196178720133404,1.00196371280432,NA,NA,NA,NA,35,0.8,0.05,1000
"e-RTs","null",1,0.8,"adaptive","Adaptive half","adaptive",NA,631,631,0.005,0.00223047080231955,194,0.307448494453249,0.630615787457132,-0.472990424249214,0.623136038144496,0.00196178720133404,1.00196371280432,NA,NA,NA,NA,5,0.8,0.05,1000
"e-RTs","null",1,0.8,"design","Design matched","matched",0.8,631,631,0.023,0.00474035863622153,290,0.45958795562599,0.0325124420449313,-0.268590628895566,0.764456137854807,0.00196178720133404,1.00196371280432,NA,NA,NA,NA,23,0.8,0.05,1000
"e-RTs","null",1,0.7,"fixed","Fixed 0.25","fixed",NA,247,247,0.006,0.00244213021765835,181,0.732793522267207,0.231245805494103,-0.403979132786218,0.667945846398939,-0.00144576269180079,0.998555284504657,NA,NA,NA,NA,6,0.8,0.05,1000
"e-RTs","null",1,0.7,"adaptive","Adaptive half","adaptive",NA,247,247,0.001,0.000999499874937461,195,0.789473684210526,0.72538846772646,-0.491811083226686,0.611517880905582,-0.00144576269180079,0.998555284504657,NA,NA,NA,NA,1,0.8,0.05,1000
"e-RTs","null",1,0.7,"design","Design matched","matched",0.7,247,247,0.022,0.00463853425124791,159,0.643724696356275,0.0601429345868315,-0.342801716666006,0.709780438106474,-0.00144576269180079,0.998555284504657,NA,NA,NA,NA,22,0.8,0.05,1000
"e-RTs","alternative",0.9,0.9,"fixed","Fixed 0.25","fixed",NA,2829,2829,0.373,0.0152928414625929,647,0.228702721809827,0.00508348325636365,-0.218001189609216,0.804124485072093,-0.104994944529671,0.900329096374531,2.07669576818191,2.6969722063724,3.69218736224751,0.00536193029490617,373,0.8,0.05,1000
"e-RTs","alternative",0.9,0.9,"adaptive","Adaptive half","adaptive",NA,2829,2829,0.416,0.0155866609637857,1684,0.595263343937787,7.70967735392172,-0.163877856412116,0.848845764961991,-0.104994944529671,0.900329096374531,1.56093743779519,2.03132284185158,2.93747814608051,0.00240384615384615,416,0.8,0.05,1000
