"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,0,1,0,0,NA,0.290639310338446,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,1,0,0,NA,5.75199730731172e-05,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,10,1,0,0,NA,0.375159780119899,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,1,0.1,0.0670820393249937,87.5,0.0646676137024405,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,30,1,0,0,NA,0.476093082110363,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,1,0,0,NA,0.114429130400559,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,0,20,0,0,NA,0.566653994229672,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,20,0.05,0.0487339717240448,26,0.0500269842042504,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,10,20,0,0,NA,0.498101701356948,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,20,0.05,0.0487339717240448,71,0.104912531957735,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,30,20,0.05,0.0487339717240448,1949,0.432367705749136,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,20,0.05,0.0487339717240448,73,0.126618745693123,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,0,50,0,0,NA,0.443781181069998,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,50,0,0,NA,0.101160536149488,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,10,50,0,0,NA,0.595472039598675,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,50,0,0,NA,0.107117544043923,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,0.5,30,50,0,0,NA,0.585516126933669,0.8,0.05,20
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,50,0,0,NA,0.144140951725455,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,0,1,0.2,0.0894427190999916,548,3.47065612013868,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,0,1,0.05,0.0487339717240448,1086,0.000932972716644549,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,10,1,0.25,0.0968245836551854,1187,6.53282809819047,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,10,1,0.1,0.0670820393249937,570.5,0.227916751337324,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,30,1,0.4,0.109544511501033,871,7.1076727328165,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,30,1,0.35,0.106653645038508,1332,0.901064072908904,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,0,20,0.3,0.102469507659596,874,2.3296407192311,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,0,20,0.2,0.0894427190999916,1921.5,0.401328404353464,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,10,20,0.1,0.0670820393249937,1700,1.58847507470452,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,10,20,0.3,0.102469507659596,1372.5,0.781759234817891,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,30,20,0.3,0.102469507659596,660.5,2.70245378399962,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,30,20,0.4,0.109544511501033,816.5,1.5683417716298,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,0,50,0.15,0.0798435971133566,1930,1.95658839596195,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,1,0,50,0.05,0.0487339717240448,1512,0.523662401659543,0.8,0.05,20
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2202,4404,0.5,10,50,0.25,0.0968245836551854,1958,1.1187281435196,0.8,0.05,20
