"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,20,0.051,0.00695693898205238,37,0.0531607099712561,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,20,0.038,0.00604615580348373,118.5,0.084860980134595,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,20,20,0.03,0.00539444158370447,273,0.107920764980638,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,20,0.037,0.00596917079668525,264,0.127510798331001,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,35,0.036,0.00589101010014412,81.5,0.0722448904650411,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,35,0.041,0.00627048642451285,216,0.100953238440571,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,20,35,0.028,0.0052168956286282,187.5,0.120414481969877,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,35,0.033,0.00564898220921256,235,0.136726079248622,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,50,0.03,0.00539444158370447,122.5,0.0906201823223982,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,50,0.025,0.00493710441453287,177,0.114796826819017,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,20,50,0.048,0.00675988165576883,202.5,0.129950813883284,0.8,0.05,1000
