"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,20,0,0,NA,0.0573900293666264,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,20,0,0,NA,0.921402555964375,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,20,20,0.5,0.353553390593274,57,0.0986279499683133,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,20,0,0,NA,0.11586970256482,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,35,0,0,NA,0.364717680931122,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,35,0,0,NA,0.0966661363118098,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,20,35,0,0,NA,0.127176677884459,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,35,0,0,NA,0.108873344194907,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,50,0.5,0.353553390593274,87,0.0498810511495826,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,50,0,0,NA,0.18484933493857,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,20,50,0,0,NA,0.133679578585804,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,50,0,0,NA,0.113459618116784,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,75,0,0,NA,0.220059504701171,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,75,0,0,NA,0.12349558654696,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,20,75,0,0,NA,0.541976402901707,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,30,75,0,0,NA,0.122513957233177,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,0,100,0,0,NA,0.208125944554963,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,10,100,0,0,NA,0.141539793127073,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2202,4404,1,20,100,0,0,NA,0.215501360051279,0.8,0.05,2
