"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,NA,NA,0,0.0844527324219911,"adaptive_full_kelly","adaptive",2202,4404,0,0,NA,0.164029712042556,0.8,0.05,2
"null",1,1.1,1.1,0.0476190476190477,0,0.0844527324219911,"fixed_design","design_under_null",2202,4404,0,0,NA,0.0127107885601221,0.8,0.05,2
"null",1,1.2,NA,NA,0,0.161482391852927,"adaptive_full_kelly","adaptive",603,1206,0,0,NA,0.489293725427537,0.8,0.05,2
"null",1,1.2,1.2,0.0909090909090909,0,0.161482391852927,"fixed_design","design_under_null",603,1206,0,0,NA,0.11106472772183,0.8,0.05,2
"null",1,1.3,NA,NA,0,0.232229108033415,"adaptive_full_kelly","adaptive",293,586,0,0,NA,2.09117520723159,0.8,0.05,2
"null",1,1.3,1.3,0.130434782608696,0,0.232229108033415,"fixed_design","design_under_null",293,586,0,0,NA,0.505560542474879,0.8,0.05,2
"null",1,1.5,NA,NA,0,0.358286909242583,"adaptive_full_kelly","adaptive",124,248,0,0,NA,0.46080466277986,0.8,0.05,2
"null",1,1.5,1.5,0.2,0,0.358286909242583,"fixed_design","design_under_null",124,248,0,0,NA,0.310023998404745,0.8,0.05,2
"alternative",1.1,1.1,NA,NA,0.0844527324219911,0.0844527324219911,"adaptive_full_kelly","adaptive",2202,4404,0,0,NA,0.558918069841015,0.8,0.05,2
"alternative",1.1,1.1,1.05,0.024390243902439,0.0844527324219911,0.0844527324219911,"fixed_under","underestimated",2202,4404,0,0,NA,4.09623391560059,0.8,0.05,2
"alternative",1.1,1.1,1.1,0.0476190476190477,0.0844527324219911,0.0844527324219911,"fixed_matched","matched",2202,4404,0,0,NA,3.25500332031509,0.8,0.05,2
"alternative",1.1,1.1,1.2,0.090909090909091,0.0844527324219911,0.0844527324219911,"fixed_over","overestimated",2202,4404,0,0,NA,3.03265271290441,0.8,0.05,2
"alternative",1.2,1.2,NA,NA,0.161482391852927,0.161482391852927,"adaptive_full_kelly","adaptive",603,1206,0.5,0.353553390593274,499,24.6011997029156,0.8,0.05,2
"alternative",1.2,1.2,1.1,0.0476190476190477,0.161482391852927,0.161482391852927,"fixed_under","underestimated",603,1206,0.5,0.353553390593274,540,11.7125818761925,0.8,0.05,2
"alternative",1.2,1.2,1.2,0.0909090909090909,0.161482391852927,0.161482391852927,"fixed_matched","matched",603,1206,0,0,NA,3.75961947484884,0.8,0.05,2
"alternative",1.2,1.2,1.4,0.166666666666667,0.161482391852927,0.161482391852927,"fixed_over","overestimated",603,1206,0.5,0.353553390593274,177,2.04118394853513,0.8,0.05,2
"alternative",1.3,1.3,NA,NA,0.232229108033415,0.232229108033415,"adaptive_full_kelly","adaptive",293,586,1,0,174.5,411.38393609772,0.8,0.05,2
"alternative",1.3,1.3,1.15,0.0697674418604651,0.232229108033415,0.232229108033415,"fixed_under","underestimated",293,586,0.5,0.353553390593274,254,15.563465426697,0.8,0.05,2
"alternative",1.3,1.3,1.3,0.130434782608696,0.232229108033415,0.232229108033415,"fixed_matched","matched",293,586,0.5,0.353553390593274,222,23.2618012840228,0.8,0.05,2
"alternative",1.3,1.3,1.6,0.230769230769231,0.232229108033415,0.232229108033415,"fixed_over","overestimated",293,586,0.5,0.353553390593274,133,2.19126515117975,0.8,0.05,2
"alternative",1.5,1.5,NA,NA,0.358286909242583,0.358286909242583,"adaptive_full_kelly","adaptive",124,248,0.5,0.353553390593274,76,67.6645568045075,0.8,0.05,2
"alternative",1.5,1.5,1.25,0.111111111111111,0.358286909242583,0.358286909242583,"fixed_under","underestimated",124,248,0,0,NA,8.63101869931509,0.8,0.05,2
"alternative",1.5,1.5,1.5,0.2,0.358286909242583,0.358286909242583,"fixed_matched","matched",124,248,1,0,99,105.634818447194,0.8,0.05,2
"alternative",1.5,1.5,2,0.333333333333333,0.358286909242583,0.358286909242583,"fixed_over","overestimated",124,248,0,0,NA,0.0030321879815877,0.8,0.05,2
