"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","design_method","rejection_rate","se","median_crossing","median_final_evalue","median_seq_wr_crossing","median_seq_wr_final","median_all_pairs_wr_crossing","median_all_pairs_wr_final","median_wr_exaggeration_vs_true","wr_exaggeration_vs_true_q25","wr_exaggeration_vs_true_q75","wr_exaggeration_vs_true_q90","median_wr_exaggeration_vs_final","target_power","alpha","n_sims"
"null",1,1.1,NA,NA,0,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0,0,NA,0.114320716128913,NA,1.00783972125436,NA,0.997629078499569,NA,NA,NA,NA,NA,0.8,0.05,20
"null",1,1.1,1.1,0.0476190476190477,0,0.0844527324219911,"fixed_design","design_under_null",2305,4610,"Yu-Ganju WR",0.05,0.0487339717240448,860,0.0846825464955319,1.21649484536082,1.00260794082126,1.103084106303,1.01151855180887,NA,NA,NA,NA,1.05971954753794,0.8,0.05,20
"null",1,1.2,NA,NA,0,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.1,0.0670820393249937,294,0.312707577188246,0.694126620900076,0.984375,0.795577328126089,0.998298580331958,NA,NA,NA,NA,0.904016822790125,0.8,0.05,20
"null",1,1.2,1.2,0.0909090909090909,0,0.161482391852927,"fixed_design","design_under_null",630,1260,"Yu-Ganju WR",0,0,NA,0.0744525265166012,NA,1.00002015641377,NA,0.97759501861677,NA,NA,NA,NA,NA,0.8,0.05,20
"null",1,1.3,NA,NA,0,0.232229108033415,"adaptive_full_kelly","adaptive",305,610,"Yu-Ganju WR",0,0,NA,0.320660208860909,NA,1.01322324851865,NA,0.973480094248011,NA,NA,NA,NA,NA,0.8,0.05,20
"null",1,1.3,1.3,0.130434782608696,0,0.232229108033415,"fixed_design","design_under_null",305,610,"Yu-Ganju WR",0.05,0.0487339717240448,89,0.14072728196863,1.96666666666667,1.03333333333333,1.51061806656101,1.00947240974898,NA,NA,NA,NA,1.34106515195107,0.8,0.05,20
"null",1,1.5,NA,NA,0,0.358286909242583,"adaptive_full_kelly","adaptive",128,256,"Yu-Ganju WR",0,0,NA,0.464890094536008,NA,1.01587301587302,NA,1.00845854170673,NA,NA,NA,NA,NA,0.8,0.05,20
"null",1,1.5,1.5,0.2,0,0.358286909242583,"fixed_design","design_under_null",128,256,"Yu-Ganju WR",0.05,0.0487339717240448,64,0.110014561883943,2.04761904761905,1.03174603174603,1.81512027491409,0.999640118622622,NA,NA,NA,NA,1.42547366473857,0.8,0.05,20
"alternative",1.1,1.1,NA,NA,0.0844527324219911,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0.15,0.0798435971133566,1242,0.953842606829047,1.19823008849558,1.10022822634341,1.17601450443893,1.09993792071448,1.06910409494448,1.04386620030573,1.38406490932126,1.57304139794733,1.04180432813539,0.8,0.05,20
"alternative",1.1,1.1,1.05,0.024390243902439,0.0844527324219911,0.0844527324219911,"fixed_under","underestimated",2305,4610,"Yu-Ganju WR",0.3,0.102469507659596,1910.5,5.92561952748574,1.16612750801988,1.09165326501993,1.15967387533964,1.11407420237158,1.05424897758149,1.03092554071135,1.07401840064719,1.08009532242707,1.00074583735019,0.8,0.05,20
