"true_wr","design_wr","method","sample_size_rule","wager_rule","n_pairs","n_patients","rejection_rate","null_rejection_rate","se","median_crossing","median_final_evalue","alpha","n_sims","yu_ganju_pairs","n_ratio_to_yu_ganju"
1.1,1.1,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",2305,4610,0.800157246827856,0.05,NA,NA,NA,0.05,1000,2305,1
1.1,1.1,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",2305,4610,0.314,0.042,0.0146766481186952,1064,1.05587258937607,0.05,1000,2305,1
1.1,1.1,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",2305,4610,0.573,0.031,0.0156419627924375,1366,13.1715422646895,0.05,1000,2305,1
1.1,1.1,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",3861,7722,0.8,0.039,0.0126491106406735,1643.5,NA,0.05,1000,2305,1.67505422993492
1.2,1.2,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",630,1260,0.800217802310498,0.05,NA,NA,NA,0.05,1000,630,1
1.2,1.2,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",630,1260,0.351,0.032,0.0150930116279025,320,1.90736813358351,0.05,1000,630,1
1.2,1.2,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",630,1260,0.566,0.027,0.0156730341670016,374,12.0719032087365,0.05,1000,630,1
1.2,1.2,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",1095,2190,0.8,0.031,0.0126491106406735,483,NA,0.05,1000,630,1.73809523809524
1.3,1.3,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",305,610,0.801203198572053,0.05,NA,NA,NA,0.05,1000,305,1
1.3,1.3,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",305,610,0.369,0.018,0.0152590628807932,175,2.59477398541376,0.05,1000,305,1
1.3,1.3,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",305,610,0.567,0.029,0.0156687906361659,181,12.1734952023269,0.05,1000,305,1
1.3,1.3,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",517,1034,0.8,0.036,0.0126491106406735,228,NA,0.05,1000,305,1.69508196721311
1.5,1.5,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",128,256,0.80211054622179,0.05,NA,NA,NA,0.05,1000,128,1
1.5,1.5,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",128,256,0.334,0.013,0.0149145566477854,85.5,2.82450968415096,0.05,1000,128,1
1.5,1.5,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",128,256,0.533,0.025,0.0157769135131052,77,14.2739865190831,0.05,1000,128,1
1.5,1.5,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",206,412,0.803,0.029,0.0125774003673255,99,NA,0.05,1000,128,1.609375
