"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","rejection_rate","se","median_crossing","median_final_evalue","n_freq","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,NA,NA,0.035,0.00581162627841812,314,0.191588782314414,2942,0.8,0.05,1000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,NA,NA,0.031,0.00548078461536302,1232,0.0203857106597272,2942,0.8,0.05,1000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,NA,NA,0.051,0.00695693898205238,573,5.2554184909936e-08,2942,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",7355,2942,0.5,0.036,0.00589101010014412,393,0.128192117891908,2942,0.8,0.05,1000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",7355,2942,0.5,0.04,0.00619677335393187,934.5,0.00164351132776911,2942,0.8,0.05,1000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",7355,2942,0.5,0.044,0.00648567652600714,292,8.20856494904542e-14,2942,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,NA,NA,0.028,0.0052168956286282,264,0.375452038040922,712,0.8,0.05,1000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,NA,NA,0.004,0.00199599599197994,507.5,0.443594728566208,712,0.8,0.05,1000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,NA,NA,0.03,0.00539444158370447,316,0.0316592556040351,712,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",1780,712,0.5,0.03,0.00539444158370447,197.5,0.269719870940519,712,0.8,0.05,1000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",1780,712,0.5,0.008,0.00281709069786544,578,0.240017156943239,712,0.8,0.05,1000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",1780,712,0.5,0.043,0.00641490451994416,253,0.000809703668770973,712,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,NA,NA,0.491,0.0158088266484265,1412,5.33882587319877,2942,0.8,0.05,1000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,NA,NA,0.515,0.0158042715744826,2206,16.1685969645189,2942,0.8,0.05,1000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,NA,NA,0.744,0.0138008695378226,1483,44.1842958770336,2942,0.8,0.05,1000
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,NA,NA,0.59,0.0155531347322654,809.5,0.698529886721219,2942,0.8,0.05,1000
"e-RTb","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,NA,NA,0.752,0.0136563538325572,1501.5,43.2497993103853,2942,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",7355,2759,0.466666666666667,0.722,0.0141674274305535,1151,33.4373402672978,2942,0.8,0.05,1000
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",7355,2759,0.466666666666667,0.862,0.0109066951914867,1599,83.943072456018,2942,0.8,0.05,1000
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",7355,2759,0.466666666666667,0.904,0.00931579304192617,978.5,388.026866480772,2942,0.8,0.05,1000
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",7355,2759,0.466666666666667,0.619,0.0153570504980611,528,0.14415994837626,2942,0.8,0.05,1000
"e-RTe","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",7355,2759,0.466666666666667,0.909,0.00909499862561837,1000,370.716715893056,2942,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,NA,NA,0.504,0.0158108823283206,413,6.57200848893641,712,0.8,0.05,1000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,NA,NA,0.431,0.0156601085564564,578,11.6799610597895,712,0.8,0.05,1000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,NA,NA,0.722,0.0141674274305535,424,29.9014170733636,712,0.8,0.05,1000
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",712,NA,NA,0.687,0.0146639353517397,322,15.271428971852,712,0.8,0.05,1000
"e-RTb","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",712,NA,NA,0.717,0.0142446832186609,407,33.4501889228842,712,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",1780,624,0.428571428571429,0.762,0.0134668481835951,282.5,61.255762358012,712,0.8,0.05,1000
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",1780,624,0.428571428571429,0.853,0.0111978122863352,393,76.8913992290233,712,0.8,0.05,1000
