"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","effect_scale","true_effect","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_effect","median_final_effect","median_type_m_at_crossing","type_m_q25","type_m_q75","type_m_q90","n_freq","erte_inflation","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,NA,NA,"ARR",0,0.035,0.00581162627841812,314,0.191588782314414,0.0582071452558999,0.000487566290612418,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,NA,NA,"ARR",0,0.031,0.00548078461536302,1232,0.0203857106597272,0.064047902782069,-0.000219112131731591,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,NA,NA,"ARR",0,0.051,0.00695693898205238,573,5.2554184909936e-08,0.0878473857748469,-0.000490262477450459,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.037,0.00596917079668525,221,0.205531932900819,0.0420857730217878,-0.00162375762072037,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.021,0.00453420334788814,592,0.0776450407864966,0.058862450375771,0.000723833823284808,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.051,0.00695693898205238,302,8.29614078443096e-06,0.0558694996986136,0.000215933316824041,NA,NA,NA,NA,2942,1,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,NA,NA,"ARR",0,0.012,0.00344325427466517,275.5,0.373363550095242,0.140834306085862,-0.000933397938296165,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,NA,NA,"ARR",0,0.009,0.00298646948753876,647,0.446990091160498,0.124237288135593,0.00284466614608356,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,NA,NA,"ARR",0,0.035,0.00581162627841812,403,0.0297761630068325,0.111243654822335,-0.000588161644982321,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,285,0.5,"ARR_at_crossing_snapshot",0,0.012,0.00344325427466517,118,0.419361161975848,0.0684557817483876,-0.00139043677478334,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,0,0,NA,0.625987560529951,NA,0.000556334146632614,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,0.016,0.00396787096564392,204,0.109609832266427,0.0926448920896993,-0.00121239015492242,NA,NA,NA,NA,712,1,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,NA,NA,"ARR",0.05,0.491,0.0158088266484265,1509,4.65403908654435,0.0784046100736119,0.0492146877611852,1.56809220147224,1.32264482058494,2.1737141796318,3.11595608488187,2942,1,0.8,0.05,1000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,NA,NA,"ARR",0.05,0.532,0.0157789733506334,2203,16.6575445236942,0.0660092696506576,0.0496193849532613,1.32018539301315,1.16142736503559,1.5500605397657,1.90476346422312,2942,1,0.8,0.05,1000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,NA,NA,"ARR",0.05,0.753,0.0136378517369856,1478,41.9205983031813,0.0649095607235142,0.0497126124671634,1.29819121447028,1.06046054286432,1.67415730337078,2.089715155988,2942,1,0.8,0.05,1000
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,NA,NA,"ARR",0.05,0.571,0.0156511660907422,806,0.486471975238721,0.0839836065573769,0.049589003497068,1.67967213114754,1.36591315395526,2.13395880931376,2.88459726801696,2942,1,0.8,0.05,1000
"e-RTb","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,NA,NA,"ARR",0.05,0.738,0.0139052508067996,1394,37.1638867088067,0.0663313166669441,0.04882468780566,1.32662633333888,1.05841618975388,1.73074106165017,2.23642440881192,2942,1,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.347,0.0150529399121899,497,1.4906392030842,0.0822847553996978,0.0496520402524583,1.64569510799396,1.33100495119253,2.13024143431676,2.74477042708169,2942,1,0.8,0.05,1000
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.152,0.0113532374237483,941.5,5.51852004193669,0.0749829596489795,0.050281331216341,1.49965919297959,1.34597708185276,1.7143422977073,1.94768387300026,2942,1,0.8,0.05,1000
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.506,0.0158102498398982,699.5,9.81640116588767,0.0676742861183364,0.0488463751570866,1.35348572236673,1.11918441298978,1.68039395245278,2.03004350643929,2942,1,0.8,0.05,1000
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.447,0.0157223089907303,431,0.423165830305873,0.074271788770772,0.0493863575604304,1.48543577541544,1.19659244793651,1.91854454132393,2.41445669310724,2942,1,0.8,0.05,1000
