"endpoint","policy","scenario_type","p_ctrl","p_trt_design","p_trt_true","design_arr","true_arr","n_patients","n_events","event_coin","rejection_rate","se","median_crossing","median_final_evalue","n_freq","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.35,0.4,0.05,0,2942,NA,NA,0.044,0.00917213170424411,359,0.191588782314414,2942,0.8,0.05,500
"e-RTb","design_full_kelly","null",0.4,0.35,0.4,0.05,0,2942,NA,NA,0.02,0.00626099033699941,1342.5,0.0244398408120995,2942,0.8,0.05,500
"e-RTb","oracle_full_kelly","null",0.4,0.35,0.4,0.05,0,2942,NA,NA,0,0,NA,1,2942,0.8,0.05,500
"e-RTe","adaptive_full_kelly","null",0.4,0.35,0.4,0.05,0,7355,2942,0.5,0.034,0.00810481338464989,158,0.128109150550037,2942,0.8,0.05,500
"e-RTe","design_full_kelly","null",0.4,0.35,0.4,0.05,0,7355,2942,0.5,0.042,0.00897061870775924,1489,0.00142277183859334,2942,0.8,0.05,500
"e-RTe","oracle_full_kelly","null",0.4,0.35,0.4,0.05,0,7355,2942,0.5,0,0,NA,1,2942,0.8,0.05,500
"e-RTb","adaptive_half_kelly","null",0.4,0.3,0.4,0.1,0,712,NA,NA,0.026,0.00711674082709213,360,0.385518978812377,712,0.8,0.05,500
"e-RTb","design_full_kelly","null",0.4,0.3,0.4,0.1,0,712,NA,NA,0.028,0.00737780455149091,455,0.0297532885885513,712,0.8,0.05,500
"e-RTb","oracle_full_kelly","null",0.4,0.3,0.4,0.1,0,712,NA,NA,0,0,NA,1,712,0.8,0.05,500
"e-RTe","adaptive_full_kelly","null",0.4,0.3,0.4,0.1,0,1780,712,0.5,0.032,0.00787095928079926,313.5,0.266302169329576,712,0.8,0.05,500
"e-RTe","design_full_kelly","null",0.4,0.3,0.4,0.1,0,1780,712,0.5,0.04,0.00876356092008266,340,0.000991292812204415,712,0.8,0.05,500
"e-RTe","oracle_full_kelly","null",0.4,0.3,0.4,0.1,0,1780,712,0.5,0,0,NA,1,712,0.8,0.05,500
"e-RTb","adaptive_half_kelly","matched",0.4,0.35,0.35,0.05,0.05,2942,NA,NA,0.482,0.0223461853567896,1403,4.85633338240798,2942,0.8,0.05,500
"e-RTb","design_full_kelly","matched",0.4,0.35,0.35,0.05,0.05,2942,NA,NA,0.74,0.0196163197363828,1431,53.1002728562106,2942,0.8,0.05,500
"e-RTb","oracle_full_kelly","matched",0.4,0.35,0.35,0.05,0.05,2942,NA,NA,0.75,0.0193649167310371,1489,43.5445160229908,2942,0.8,0.05,500
"e-RTe","adaptive_full_kelly","matched",0.4,0.35,0.35,0.05,0.05,7355,2759,0.466666666666667,0.694,0.0206089301032344,1283,35.8410702936896,2942,0.8,0.05,500
"e-RTe","design_full_kelly","matched",0.4,0.35,0.35,0.05,0.05,7355,2759,0.466666666666667,0.918,0.0122699633251286,1027,488.703414164339,2942,0.8,0.05,500
"e-RTe","oracle_full_kelly","matched",0.4,0.35,0.35,0.05,0.05,7355,2759,0.466666666666667,0.906,0.0130509769749241,959,352.449541348785,2942,0.8,0.05,500
"e-RTb","adaptive_half_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,712,NA,NA,0.13,0.0150399468084166,459,0.623907514482765,712,0.8,0.05,500
"e-RTb","design_full_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,712,NA,NA,0.252,0.0194162818273736,493,0.915641332840253,712,0.8,0.05,500
"e-RTb","oracle_full_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,712,NA,NA,0.086,0.0125382614424808,603,2.31429882570877,712,0.8,0.05,500
"e-RTe","adaptive_full_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,1780,668,0.466666666666667,0.198,0.0178211110764733,334,0.736479309002992,712,0.8,0.05,500
"e-RTe","design_full_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,1780,668,0.466666666666667,0.374,0.0216390387956582,337,0.853258510642195,712,0.8,0.05,500
"e-RTe","oracle_full_kelly","optimistic_design",0.4,0.3,0.35,0.1,0.05,1780,668,0.466666666666667,0.21,0.018215378118502,503,3.68956469062827,712,0.8,0.05,500
